a,x,P-value
29,54,3.168971073058430427e-03
18,29,2.528915386401238766e-03
15,26,1.963637031302677832e-02
0,13,5.956893805859387464e-03
9,12,4.952388856881766339e-03
16,24,1.661405513192655385e-03
7,10,3.782646627961866459e-02
10,14,7.720388697829726199e-03
8,10,4.308632717471823879e-03
8,10,4.308632717471823879e-03
48,105,1.642201305369456535e-02
9,52,6.586575729193688833e-03
3,30,2.942309692678682798e-03
3,29,4.671264708299187156e-03
5,32,2.259381754281068744e-02
0,19,3.664812809498033423e-04
1,15,2.553913508351087630e-02
29,54,3.168971073058430427e-03
15,26,1.963637031302677832e-02
18,29,2.528915386401238766e-03
29,54,3.168971073058430427e-03
16,27,1.212269303415925217e-02
8,11,2.004821247877851959e-02
0,13,5.956893805859387464e-03
16,24,1.661405513192655385e-03
17,31,2.084458865714813869e-02
5,31,3.331409586868581962e-02
1,15,2.553913508351087630e-02
0,17,1.141226761760078369e-03
0,13,5.956893805859387464e-03
9,12,4.952388856881766339e-03
17,28,4.526628927304736025e-03
10,14,7.720388697829726199e-03
8,10,4.308632717471823879e-03
7,10,3.782646627961866459e-02
8,10,4.308632717471823879e-03
36,36,7.342482835456615820e-18
21,21,1.414396396292440823e-10
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
33,175,6.903030263114601018e-07
52,187,3.208160579898111653e-02
15,86,3.236699374906996073e-04
39,149,1.908736123512804264e-02
7,75,2.275897651842939707e-07
18,82,1.082367071171934370e-02
0,45,4.418489810956446496e-09
39,149,1.908736123512804264e-02
7,75,2.275897651842939707e-07
14,76,1.585819480059410874e-03
2,28,1.001521093722503074e-03
0,10,1.814995816779501128e-02
52,187,3.208160579898111653e-02
15,86,3.236699374906996073e-04
5,29,4.825949105535230765e-02
14,76,1.585819480059410874e-03
2,28,1.001521093722503074e-03
0,10,1.814995816779501128e-02
18,82,1.082367071171934370e-02
0,45,4.418489810956446496e-09
0,10,1.814995816779501128e-02
0,10,1.814995816779501128e-02
10,48,4.282975875121451670e-02
4,27,3.798516338927700187e-02
5,31,3.331409586868581962e-02
4,26,3.729602315477649477e-02
0,19,3.664812809498033423e-04
14,76,1.585819480059410874e-03
3,22,4.059051325337519056e-02
0,10,1.814995816779501128e-02
3,28,7.498802121604856985e-03
0,38,7.861801633342509786e-08
0,10,1.814995816779501128e-02
4,26,3.729602315477649477e-02
17,72,4.020499141720144248e-02
0,10,1.814995816779501128e-02
17,72,4.020499141720144248e-02
0,38,7.861801633342509786e-08
0,10,1.814995816779501128e-02
24,49,4.390894370131215307e-02
14,76,1.585819480059410874e-03
3,28,7.498802121604856985e-03
0,10,1.814995816779501128e-02
3,22,4.059051325337519056e-02
0,38,7.861801633342509786e-08
0,10,1.814995816779501128e-02
0,17,1.141226761760078369e-03
0,38,7.861801633342509786e-08
0,17,1.141226761760078369e-03
24,49,4.390894370131215307e-02
55,96,2.387904004942954512e-06
30,61,1.763423384511856457e-02
31,51,1.122655100186235085e-04
18,28,1.840832482670896018e-03
31,51,1.122655100186235085e-04
18,24,8.398913052010717169e-05
8,11,2.004821247877851959e-02
30,61,1.763423384511856457e-02
18,28,1.840832482670896018e-03
8,11,2.004821247877851959e-02
10,15,1.256619413833789424e-02
9,11,1.779018343913564126e-03
34,54,1.356561692593035776e-05
17,24,3.091081751607770460e-04
0,13,5.956893805859387464e-03
7,10,3.782646627961866459e-02
18,28,1.840832482670896018e-03
8,11,2.004821247877851959e-02
9,11,1.779018343913564126e-03
0,17,1.141226761760078369e-03
34,54,1.356561692593035776e-05
18,28,1.840832482670896018e-03
8,11,2.004821247877851959e-02
17,24,3.091081751607770460e-04
7,10,3.782646627961866459e-02
0,13,5.956893805859387464e-03
22,28,1.797639587664199489e-06
9,12,4.952388856881766339e-03
8,11,2.004821247877851959e-02
8,11,2.004821247877851959e-02
9,12,4.952388856881766339e-03
48,105,1.642201305369456535e-02
9,52,6.586575729193688833e-03
3,30,2.942309692678682798e-03
5,32,2.259381754281068744e-02
0,19,3.664812809498033423e-04
3,29,4.671264708299187156e-03
1,15,2.553913508351087630e-02
29,54,3.168971073058430427e-03
18,29,2.528915386401238766e-03
15,26,1.963637031302677832e-02
29,54,3.168971073058430427e-03
16,27,1.212269303415925217e-02
8,11,2.004821247877851959e-02
0,13,5.956893805859387464e-03
16,24,1.661405513192655385e-03
17,31,2.084458865714813869e-02
5,31,3.331409586868581962e-02
1,15,2.553913508351087630e-02
0,17,1.141226761760078369e-03
0,13,5.956893805859387464e-03
9,12,4.952388856881766339e-03
17,28,4.526628927304736025e-03
10,14,7.720388697829726199e-03
8,10,4.308632717471823879e-03
7,10,3.782646627961866459e-02
8,10,4.308632717471823879e-03
10,48,4.282975875121451670e-02
5,31,3.331409586868581962e-02
4,27,3.798516338927700187e-02
0,19,3.664812809498033423e-04
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
10,15,1.256619413833789424e-02
9,11,1.779018343913564126e-03
9,11,1.779018343913564126e-03
48,105,1.642201305369456535e-02
9,52,6.586575729193688833e-03
3,30,2.942309692678682798e-03
3,29,4.671264708299187156e-03
5,32,2.259381754281068744e-02
0,19,3.664812809498033423e-04
1,15,2.553913508351087630e-02
5,31,3.331409586868581962e-02
1,15,2.553913508351087630e-02
0,17,1.141226761760078369e-03
17,31,2.084458865714813869e-02
29,54,3.168971073058430427e-03
16,27,1.212269303415925217e-02
8,11,2.004821247877851959e-02
0,13,5.956893805859387464e-03
17,28,4.526628927304736025e-03
29,54,3.168971073058430427e-03
15,26,1.963637031302677832e-02
18,29,2.528915386401238766e-03
0,13,5.956893805859387464e-03
9,12,4.952388856881766339e-03
16,24,1.661405513192655385e-03
7,10,3.782646627961866459e-02
10,14,7.720388697829726199e-03
8,10,4.308632717471823879e-03
8,10,4.308632717471823879e-03
36,36,7.342482835456615820e-18
21,21,1.414396396292440823e-10
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
15,81,1.368448280927994165e-03
8,51,3.614075712242066987e-03
8,61,1.389424130889786854e-04
4,34,3.073779089115791577e-03
2,26,2.666350846448124323e-03
4,31,1.126914886973268831e-02
0,19,3.664812809498033423e-04
9,51,9.494348540393974037e-03
3,30,2.942309692678682798e-03
4,33,4.693578816658820763e-03
1,15,2.553913508351087630e-02
9,51,9.494348540393974037e-03
3,30,2.942309692678682798e-03
4,33,4.693578816658820763e-03
1,15,2.553913508351087630e-02
5,31,3.331409586868581962e-02
0,19,3.664812809498033423e-04
4,30,1.105820060581923919e-02
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
4,30,1.105820060581923919e-02
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
33,175,6.903030263114601018e-07
39,149,1.908736123512804264e-02
7,75,2.275897651842939707e-07
52,187,3.208160579898111653e-02
15,86,3.236699374906996073e-04
18,82,1.082367071171934370e-02
0,45,4.418489810956446496e-09
39,149,1.908736123512804264e-02
7,75,2.275897651842939707e-07
14,76,1.585819480059410874e-03
2,28,1.001521093722503074e-03
0,10,1.814995816779501128e-02
52,187,3.208160579898111653e-02
15,86,3.236699374906996073e-04
14,76,1.585819480059410874e-03
2,28,1.001521093722503074e-03
5,29,4.825949105535230765e-02
0,10,1.814995816779501128e-02
18,82,1.082367071171934370e-02
0,45,4.418489810956446496e-09
0,10,1.814995816779501128e-02
0,10,1.814995816779501128e-02
14,76,1.585819480059410874e-03
3,22,4.059051325337519056e-02
0,10,1.814995816779501128e-02
3,28,7.498802121604856985e-03
0,38,7.861801633342509786e-08
0,10,1.814995816779501128e-02
48,105,1.642201305369456535e-02
9,52,6.586575729193688833e-03
3,30,2.942309692678682798e-03
3,29,4.671264708299187156e-03
5,32,2.259381754281068744e-02
0,19,3.664812809498033423e-04
1,15,2.553913508351087630e-02
5,31,3.331409586868581962e-02
1,15,2.553913508351087630e-02
0,17,1.141226761760078369e-03
17,31,2.084458865714813869e-02
14,76,1.585819480059410874e-03
3,28,7.498802121604856985e-03
0,10,1.814995816779501128e-02
3,22,4.059051325337519056e-02
0,38,7.861801633342509786e-08
0,10,1.814995816779501128e-02
0,38,7.861801633342509786e-08
29,54,3.168971073058430427e-03
15,26,1.963637031302677832e-02
18,29,2.528915386401238766e-03
0,13,5.956893805859387464e-03
9,12,4.952388856881766339e-03
17,72,4.020499141720144248e-02
0,10,1.814995816779501128e-02
17,72,4.020499141720144248e-02
0,38,7.861801633342509786e-08
0,10,1.814995816779501128e-02
24,49,4.390894370131215307e-02
29,54,3.168971073058430427e-03
16,27,1.212269303415925217e-02
8,11,2.004821247877851959e-02
0,13,5.956893805859387464e-03
17,28,4.526628927304736025e-03
24,49,4.390894370131215307e-02
16,24,1.661405513192655385e-03
55,96,2.387904004942954512e-06
31,51,1.122655100186235085e-04
30,61,1.763423384511856457e-02
18,28,1.840832482670896018e-03
31,51,1.122655100186235085e-04
18,24,8.398913052010717169e-05
8,11,2.004821247877851959e-02
30,61,1.763423384511856457e-02
18,28,1.840832482670896018e-03
8,11,2.004821247877851959e-02
34,54,1.356561692593035776e-05
17,24,3.091081751607770460e-04
7,10,3.782646627961866459e-02
0,13,5.956893805859387464e-03
18,28,1.840832482670896018e-03
8,11,2.004821247877851959e-02
7,10,3.782646627961866459e-02
34,54,1.356561692593035776e-05
18,28,1.840832482670896018e-03
8,11,2.004821247877851959e-02
17,24,3.091081751607770460e-04
7,10,3.782646627961866459e-02
0,13,5.956893805859387464e-03
22,28,1.797639587664199489e-06
8,11,2.004821247877851959e-02
9,12,4.952388856881766339e-03
8,11,2.004821247877851959e-02
9,12,4.952388856881766339e-03
10,14,7.720388697829726199e-03
8,10,4.308632717471823879e-03
8,10,4.308632717471823879e-03
0,17,1.141226761760078369e-03
48,105,1.642201305369456535e-02
9,52,6.586575729193688833e-03
3,30,2.942309692678682798e-03
5,32,2.259381754281068744e-02
0,19,3.664812809498033423e-04
3,29,4.671264708299187156e-03
1,15,2.553913508351087630e-02
29,54,3.168971073058430427e-03
18,29,2.528915386401238766e-03
15,26,1.963637031302677832e-02
36,36,7.342482835456615820e-18
21,21,1.414396396292440823e-10
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
5,31,3.331409586868581962e-02
1,15,2.553913508351087630e-02
17,31,2.084458865714813869e-02
0,17,1.141226761760078369e-03
0,13,5.956893805859387464e-03
9,12,4.952388856881766339e-03
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
29,54,3.168971073058430427e-03
16,27,1.212269303415925217e-02
8,11,2.004821247877851959e-02
0,13,5.956893805859387464e-03
16,24,1.661405513192655385e-03
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
17,28,4.526628927304736025e-03
12,12,2.630033763947266159e-06
10,14,7.720388697829726199e-03
8,10,4.308632717471823879e-03
7,10,3.782646627961866459e-02
8,10,4.308632717471823879e-03
10,48,4.282975875121451670e-02
4,27,3.798516338927700187e-02
5,31,3.331409586868581962e-02
0,19,3.664812809498033423e-04
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
10,15,1.256619413833789424e-02
9,11,1.779018343913564126e-03
9,11,1.779018343913564126e-03
10,48,4.282975875121451670e-02
4,27,3.798516338927700187e-02
5,31,3.331409586868581962e-02
4,26,3.729602315477649477e-02
0,19,3.664812809498033423e-04
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
0,17,1.141226761760078369e-03
10,15,1.256619413833789424e-02
9,11,1.779018343913564126e-03
9,11,1.779018343913564126e-03
4,62,1.249891551632349898e-07
2,33,1.402708717316814252e-04
2,33,1.402708717316814252e-04
0,19,3.664812809498033423e-04
2,33,1.402708717316814252e-04
0,15,1.984514649625877120e-03
2,33,1.402708717316814252e-04
0,15,1.984514649625877120e-03
0,19,3.664812809498033423e-04
2,32,2.259085271516882197e-04
1,15,2.553913508351087630e-02
1,15,2.553913508351087630e-02
0,13,5.956893805859387464e-03
2,32,2.259085271516882197e-04
1,15,2.553913508351087630e-02
1,15,2.553913508351087630e-02
0,13,5.956893805859387464e-03
0,17,1.141226761760078369e-03
36,36,7.342482835456615820e-18
21,21,1.414396396292440823e-10
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
15,81,1.368448280927994165e-03
8,51,3.614075712242066987e-03
9,51,9.494348540393974037e-03
3,30,2.942309692678682798e-03
9,51,9.494348540393974037e-03
3,30,2.942309692678682798e-03
5,31,3.331409586868581962e-02
0,19,3.664812809498033423e-04
2,26,2.666350846448124323e-03
8,61,1.389424130889786854e-04
4,34,3.073779089115791577e-03
4,33,4.693578816658820763e-03
1,15,2.553913508351087630e-02
4,33,4.693578816658820763e-03
1,15,2.553913508351087630e-02
4,31,1.126914886973268831e-02
0,19,3.664812809498033423e-04
4,26,3.729602315477649477e-02
4,30,1.105820060581923919e-02
0,17,1.141226761760078369e-03
4,26,3.729602315477649477e-02
4,30,1.105820060581923919e-02
0,17,1.141226761760078369e-03
0,12,1.079322727355374115e-02
33,175,6.903030263114601018e-07
39,149,1.908736123512804264e-02
7,75,2.275897651842939707e-07
52,187,3.208160579898111653e-02
15,86,3.236699374906996073e-04
18,82,1.082367071171934370e-02
0,45,4.418489810956446496e-09
52,187,3.208160579898111653e-02
15,86,3.236699374906996073e-04
14,76,1.585819480059410874e-03
2,28,1.001521093722503074e-03
5,29,4.825949105535230765e-02
0,10,1.814995816779501128e-02
39,149,1.908736123512804264e-02
7,75,2.275897651842939707e-07
14,76,1.585819480059410874e-03
2,28,1.001521093722503074e-03
0,10,1.814995816779501128e-02
18,82,1.082367071171934370e-02
0,45,4.418489810956446496e-09
0,10,1.814995816779501128e-02
0,10,1.814995816779501128e-02
17,72,4.020499141720144248e-02
0,10,1.814995816779501128e-02
17,72,4.020499141720144248e-02
0,38,7.861801633342509786e-08
0,10,1.814995816779501128e-02
14,76,1.585819480059410874e-03
3,28,7.498802121604856985e-03
0,10,1.814995816779501128e-02
0,38,7.861801633342509786e-08
3,22,4.059051325337519056e-02
0,10,1.814995816779501128e-02
24,49,4.390894370131215307e-02
48,105,1.642201305369456535e-02
9,52,6.586575729193688833e-03
3,30,2.942309692678682798e-03
3,29,4.671264708299187156e-03
5,32,2.259381754281068744e-02
0,19,3.664812809498033423e-04
1,15,2.553913508351087630e-02
29,54,3.168971073058430427e-03
16,27,1.212269303415925217e-02
8,11,2.004821247877851959e-02
0,13,5.956893805859387464e-03
29,54,3.168971073058430427e-03
15,26,1.963637031302677832e-02
18,29,2.528915386401238766e-03
16,24,1.661405513192655385e-03
14,76,1.585819480059410874e-03
3,22,4.059051325337519056e-02
0,10,1.814995816779501128e-02
3,28,7.498802121604856985e-03
0,38,7.861801633342509786e-08
0,10,1.814995816779501128e-02
24,49,4.390894370131215307e-02
0,38,7.861801633342509786e-08
17,31,2.084458865714813869e-02
5,31,3.331409586868581962e-02
1,15,2.553913508351087630e-02
0,17,1.141226761760078369e-03
17,28,4.526628927304736025e-03
0,13,5.956893805859387464e-03
9,12,4.952388856881766339e-03
55,96,2.387904004942954512e-06
31,51,1.122655100186235085e-04
30,61,1.763423384511856457e-02
18,28,1.840832482670896018e-03
30,61,1.763423384511856457e-02
31,51,1.122655100186235085e-04
18,24,8.398913052010717169e-05
8,11,2.004821247877851959e-02
18,28,1.840832482670896018e-03
8,11,2.004821247877851959e-02
0,17,1.141226761760078369e-03
34,54,1.356561692593035776e-05
18,28,1.840832482670896018e-03
8,11,2.004821247877851959e-02
0,13,5.956893805859387464e-03
17,24,3.091081751607770460e-04
7,10,3.782646627961866459e-02
10,14,7.720388697829726199e-03
8,10,4.308632717471823879e-03
34,54,1.356561692593035776e-05
17,24,3.091081751607770460e-04
18,28,1.840832482670896018e-03
7,10,3.782646627961866459e-02
0,13,5.956893805859387464e-03
8,11,2.004821247877851959e-02
22,28,1.797639587664199489e-06
8,11,2.004821247877851959e-02
9,12,4.952388856881766339e-03
9,12,4.952388856881766339e-03
8,11,2.004821247877851959e-02
7,10,3.782646627961866459e-02
8,10,4.308632717471823879e-03
10,48,4.282975875121451670e-02
4,27,3.798516338927700187e-02
5,31,3.331409586868581962e-02
0,19,3.664812809498033423e-04
4,26,3.729602315477649477e-02
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
0,17,1.141226761760078369e-03
10,15,1.256619413833789424e-02
9,11,1.779018343913564126e-03
9,11,1.779018343913564126e-03
48,105,1.642201305369456535e-02
9,52,6.586575729193688833e-03
3,30,2.942309692678682798e-03
5,32,2.259381754281068744e-02
0,19,3.664812809498033423e-04
3,29,4.671264708299187156e-03
1,15,2.553913508351087630e-02
29,54,3.168971073058430427e-03
16,27,1.212269303415925217e-02
8,11,2.004821247877851959e-02
0,13,5.956893805859387464e-03
5,31,3.331409586868581962e-02
1,15,2.553913508351087630e-02
17,31,2.084458865714813869e-02
0,17,1.141226761760078369e-03
17,28,4.526628927304736025e-03
36,36,7.342482835456615820e-18
21,21,1.414396396292440823e-10
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
29,54,3.168971073058430427e-03
18,29,2.528915386401238766e-03
15,26,1.963637031302677832e-02
16,24,1.661405513192655385e-03
0,13,5.956893805859387464e-03
9,12,4.952388856881766339e-03
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
7,10,3.782646627961866459e-02
10,14,7.720388697829726199e-03
8,10,4.308632717471823879e-03
8,10,4.308632717471823879e-03
10,48,4.282975875121451670e-02
5,31,3.331409586868581962e-02
4,26,3.729602315477649477e-02
4,27,3.798516338927700187e-02
0,19,3.664812809498033423e-04
0,17,1.141226761760078369e-03
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
10,15,1.256619413833789424e-02
9,11,1.779018343913564126e-03
9,11,1.779018343913564126e-03
15,81,1.368448280927994165e-03
8,51,3.614075712242066987e-03
9,51,9.494348540393974037e-03
3,30,2.942309692678682798e-03
9,51,9.494348540393974037e-03
3,30,2.942309692678682798e-03
5,31,3.331409586868581962e-02
0,19,3.664812809498033423e-04
8,61,1.389424130889786854e-04
4,34,3.073779089115791577e-03
4,33,4.693578816658820763e-03
1,15,2.553913508351087630e-02
4,33,4.693578816658820763e-03
1,15,2.553913508351087630e-02
2,26,2.666350846448124323e-03
4,31,1.126914886973268831e-02
0,19,3.664812809498033423e-04
4,26,3.729602315477649477e-02
4,30,1.105820060581923919e-02
0,17,1.141226761760078369e-03
4,26,3.729602315477649477e-02
4,30,1.105820060581923919e-02
0,17,1.141226761760078369e-03
4,62,1.249891551632349898e-07
2,33,1.402708717316814252e-04
2,33,1.402708717316814252e-04
0,19,3.664812809498033423e-04
2,33,1.402708717316814252e-04
0,15,1.984514649625877120e-03
2,33,1.402708717316814252e-04
0,15,1.984514649625877120e-03
0,19,3.664812809498033423e-04
2,32,2.259085271516882197e-04
1,15,2.553913508351087630e-02
1,15,2.553913508351087630e-02
0,13,5.956893805859387464e-03
2,32,2.259085271516882197e-04
1,15,2.553913508351087630e-02
1,15,2.553913508351087630e-02
0,13,5.956893805859387464e-03
0,17,1.141226761760078369e-03
36,36,7.342482835456615820e-18
21,21,1.414396396292440823e-10
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
21,21,1.414396396292440823e-10
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
12,12,2.630033763947266159e-06
0,12,1.079322727355374115e-02
15,81,1.368448280927994165e-03
8,51,3.614075712242066987e-03
2,26,2.666350846448124323e-03
8,61,1.389424130889786854e-04
4,34,3.073779089115791577e-03
4,31,1.126914886973268831e-02
0,19,3.664812809498033423e-04
9,51,9.494348540393974037e-03
3,30,2.942309692678682798e-03
4,33,4.693578816658820763e-03
1,15,2.553913508351087630e-02
9,51,9.494348540393974037e-03
3,30,2.942309692678682798e-03
4,33,4.693578816658820763e-03
1,15,2.553913508351087630e-02
5,31,3.331409586868581962e-02
0,19,3.664812809498033423e-04
4,30,1.105820060581923919e-02
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
0,12,1.079322727355374115e-02
4,30,1.105820060581923919e-02
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
0,12,1.079322727355374115e-02
